alpha,beta,SumErr
14.1836734694,3.0,1.99998170737
14.1836734694,4.0,1.99973396709
14.1836734694,5.0,1.9982668687
14.1836734694,6.0,1.99298996672
14.1836734694,7.0,1.97919270771
14.1836734694,8.0,1.95012266484
14.1836734694,9.0,1.8975485239
14.1836734694,10.0,1.81253130765
14.1836734694,11.0,1.68616983884
14.1836734694,12.0,1.51019248233
14.1836734694,13.0,1.27735638653
14.1836734694,14.0,0.981668014423
14.1836734694,15.0,0.618461282796
14.1836734694,16.0,0.184373915077
14.1836734694,17.0,0.322741949297
14.1836734694,18.0,0.903946494749
14.1836734694,19.0,1.55935568572
14.1836734694,20.0,2.28828742667
14.5714285714,1.0,2.0
14.5714285714,2.0,1.99999984172
14.5714285714,3.0,1.99998777017
14.5714285714,4.0,1.99980995152
14.5714285714,5.0,1.99870354266
14.5714285714,6.0,1.99457433119
14.5714285714,7.0,1.98346514627
14.5714285714,8.0,1.95952067272
14.5714285714,9.0,1.91540707562
14.5714285714,10.0,1.84296606384
14.5714285714,11.0,1.73389054518
14.5714285714,12.0,1.5802910266
14.5714285714,13.0,1.37510147587
14.5714285714,14.0,1.11232517298
14.5714285714,15.0,0.787146458789
14.5714285714,16.0,0.395942075692
14.5714285714,17.0,0.101899472612
14.5714285714,18.0,0.593458586419
14.5714285714,19.0,1.19364159949
14.5714285714,20.0,1.86407268572
14.9591836735,1.0,2.0
14.9591836735,2.0,1.99999990476
14.9591836735,3.0,1.99999181953
14.9591836735,4.0,1.99986416873
14.9591836735,5.0,1.99902974671
14.9591836735,6.0,1.99579872726
14.9591836735,7.0,1.98685458701
14.9591836735,8.0,1.96713395217
14.9591836735,9.0,1.93012377992
14.9591836735,10.0,1.86840677866
14.9591836735,11.0,1.77426592692
14.9591836735,12.0,1.64021882169
14.9591836735,13.0,1.45942169637
14.9591836735,14.0,1.22593255
14.9591836735,15.0,0.934849878521
14.9591836735,16.0,0.582354047109
14.9591836735,17.0,0.165679265288
14.9591836735,18.0,0.316959518943
14.9591836735,19.0,0.866465648856
14.9591836735,20.0,1.48297164548
15.3469387755,1.0,2.0
15.3469387755,2.0,1.99999994267
15.3469387755,3.0,1.99999452556
15.3469387755,4.0,1.99990287464
15.3469387755,5.0,1.99927355349
15.3469387755,6.0,1.99674542196
15.3469387755,7.0,1.98954487297
15.3469387755,8.0,1.97330449057
15.3469387755,9.0,1.94225731916
15.3469387755,10.0,1.88968321162
15.3469387755,11.0,1.80844293089
15.3469387755,12.0,1.69147577929
15.3469387755,13.0,1.53219490214
15.3469387755,14.0,1.32476070874
15.3469387755,15.0,1.06424055428
15.3469387755,16.0,0.746675445762
15.3469387755,17.0,0.3690776224
15.3469387755,18.0,0.10223735747
15.3469387755,19.0,0.573637749363
15.3469387755,20.0,1.14045299103
15.7346938776,1.0,2.0
15.7346938776,2.0,1.99999996547
15.7346938776,3.0,1.99999633481
15.7346938776,4.0,1.99993052082
15.7346938776,5.0,1.99945586605
15.7346938776,6.0,1.99747775625
15.7346938776,7.0,1.99168124759
15.7346938776,8.0,1.97830806329
15.7346938776,9.0,1.95226579028
15.7346938776,10.0,1.90748522797
15.7346938776,11.0,1.83738635301
15.7346938776,12.0,1.73533628906
15.7346938776,13.0,1.5950304616
15.7346938776,14.0,1.41077033391
15.7346938776,15.0,1.17763862085
15.7346938776,16.0,0.891586936064
15.7346938776,17.0,0.549455700117
15.7346938776,18.0,0.14894579292
15.7346938776,19.0,0.311441335156
15.7346938776,20.0,0.83248190272
16.1224489796,1.0,2.0
16.1224489796,2.0,1.99999997919
16.1224489796,3.0,1.99999754506
16.1224489796,4.0,1.9999502769
16.1224489796,5.0,1.99959225917
16.1224489796,6.0,1.99804453173
16.1224489796,7.0,1.9933785372
